"frequency";"r ngspice/ac.s_2_1_db";"i ngspice/ac.s_2_1_db"
3.00001e+09;2.43148;0
3.01001e+09;2.27955;0
3.02001e+09;2.12801;0
3.03001e+09;1.97689;0
3.04001e+09;1.82623;0
3.05001e+09;1.67607;0
3.06001e+09;1.52644;0
3.07001e+09;1.37738;0
3.08001e+09;1.2289;0
3.09001e+09;1.08103;0
3.10001e+09;0.933793;0
3.11001e+09;0.787208;0
3.12001e+09;0.641291;0
3.13001e+09;0.496453;0
3.14001e+09;0.351917;0
3.15001e+09;0.207699;0
3.16001e+09;0.0645941;0
3.17001e+09;-0.0777815;0
3.18001e+09;-0.21942;0
3.19001e+09;-0.360315;0
3.20001e+09;-0.500461;0
3.21001e+09;-0.639854;0
3.22001e+09;-0.77849;0
3.23001e+09;-0.916366;0
3.24001e+09;-1.05348;0
3.25001e+09;-1.18983;0
3.26001e+09;-1.32542;0
3.27001e+09;-1.46025;0
3.28001e+09;-1.59431;0
3.29001e+09;-1.72762;0
3.30001e+09;-1.86016;0
3.31001e+09;-1.99195;0
3.32001e+09;-2.12298;0
3.33001e+09;-2.25327;0
3.34001e+09;-2.3828;0
3.35001e+09;-2.51159;0
3.36001e+09;-2.63964;0
3.37001e+09;-2.76695;0
3.38001e+09;-2.89353;0
3.39001e+09;-3.01938;0
3.40001e+09;-3.1445;0
3.41001e+09;-3.26891;0
3.42001e+09;-3.3926;0
3.43001e+09;-3.51559;0
3.44001e+09;-3.63787;0
3.45001e+09;-3.75945;0
3.46001e+09;-3.88034;0
3.47001e+09;-4.00054;0
3.48001e+09;-4.12005;0
3.49001e+09;-4.23889;0
3.50001e+09;-4.35706;0
3.51001e+09;-4.47456;0
3.52001e+09;-4.59139;0
3.53001e+09;-4.70723;0
3.54001e+09;-4.82311;0
3.55001e+09;-4.93799;0
3.56001e+09;-5.05224;0
3.57001e+09;-5.16585;0
3.58001e+09;-5.27884;0
3.59001e+09;-5.3912;0
3.60001e+09;-5.50294;0
3.61001e+09;-5.61407;0
3.62001e+09;-5.72459;0
3.63001e+09;-5.83451;0
3.64001e+09;-5.94383;0
3.65001e+09;-6.05256;0
3.66001e+09;-6.16071;0
3.67001e+09;-6.26827;0
3.68001e+09;-6.37526;0
3.69001e+09;-6.48167;0
3.70001e+09;-6.58752;0
3.71001e+09;-6.69281;0
3.72001e+09;-6.79754;0
3.73001e+09;-6.90172;0
3.74001e+09;-7.00503;0
3.75001e+09;-7.10844;0
3.76001e+09;-7.21099;0
3.77001e+09;-7.31301;0
3.78001e+09;-7.4145;0
3.79001e+09;-7.51546;0
3.80001e+09;-7.6159;0
3.81001e+09;-7.71583;0
3.82001e+09;-7.81525;0
3.83001e+09;-7.91416;0
3.84001e+09;-8.01257;0
3.85001e+09;-8.11048;0
3.86001e+09;-8.2079;0
3.87001e+09;-8.30482;0
3.88001e+09;-8.40126;0
3.89001e+09;-8.49722;0
3.90001e+09;-8.59269;0
3.91001e+09;-8.6877;0
3.92001e+09;-8.78223;0
3.93001e+09;-8.87629;0
3.94001e+09;-8.9696;0
3.95001e+09;-9.06304;0
3.96001e+09;-9.15572;0
3.97001e+09;-9.24796;0
3.98001e+09;-9.33974;0
3.99001e+09;-9.43108;0
4.00001e+09;-9.52198;0
4.01001e+09;-9.61244;0
4.02001e+09;-9.70218;0
4.03001e+09;-9.79205;0
4.04001e+09;-9.88121;0
4.05001e+09;-9.96995;0
4.06001e+09;-10.058;0
4.07001e+09;-10.1459;0
4.08001e+09;-10.2336;0
4.09001e+09;-10.3207;0
4.10001e+09;-10.4071;0
4.11001e+09;-10.4936;0
4.12001e+09;-10.5792;0
4.13001e+09;-10.6649;0
4.14001e+09;-10.7499;0
4.15001e+09;-10.8346;0
4.16001e+09;-10.9188;0
4.17001e+09;-11.0024;0
4.18001e+09;-11.0862;0
4.19001e+09;-11.169;0
4.20001e+09;-11.252;0
4.21001e+09;-11.3343;0
4.22001e+09;-11.4162;0
4.23001e+09;-11.4978;0
4.24001e+09;-11.579;0
4.25001e+09;-11.6596;0
4.26001e+09;-11.7403;0
4.27001e+09;-11.8204;0
4.28001e+09;-11.9002;0
4.29001e+09;-11.9795;0
4.30001e+09;-12.0583;0
4.31001e+09;-12.1372;0
4.32001e+09;-12.2156;0
4.33001e+09;-12.2933;0
4.34001e+09;-12.3711;0
4.35001e+09;-12.4484;0
4.36001e+09;-12.5253;0
4.37001e+09;-12.6017;0
4.38001e+09;-12.6782;0
4.39001e+09;-12.7541;0
4.40001e+09;-12.8296;0
4.41001e+09;-12.9049;0
