"frequency";"r ngspice/ac.s_1_1_db";"i ngspice/ac.s_1_1_db"
2.63001e+09;-9.97301;0
2.64001e+09;-9.72075;0
2.65001e+09;-9.48011;0
2.66001e+09;-9.25167;0
2.67001e+09;-9.03189;0
2.68001e+09;-8.8234;0
2.69001e+09;-8.6257;0
2.70001e+09;-8.43643;0
2.71001e+09;-8.25524;0
2.72001e+09;-8.08356;0
2.73001e+09;-7.92006;0
2.74001e+09;-7.76434;0
2.75001e+09;-7.61605;0
2.76001e+09;-7.4748;0
2.77001e+09;-7.34025;0
2.78001e+09;-7.21205;0
2.79001e+09;-7.0899;0
2.80001e+09;-6.97346;0
2.81001e+09;-6.86244;0
2.82001e+09;-6.75656;0
2.83001e+09;-6.65553;0
2.84001e+09;-6.55911;0
2.85001e+09;-6.46704;0
2.86001e+09;-6.37908;0
2.87001e+09;-6.29501;0
2.88001e+09;-6.21462;0
2.89001e+09;-6.1377;0
2.90001e+09;-6.06407;0
2.91001e+09;-5.99473;0
2.92001e+09;-5.92595;0
2.93001e+09;-5.86113;0
2.94001e+09;-5.79893;0
2.95001e+09;-5.73921;0
2.96001e+09;-5.68183;0
2.97001e+09;-5.62667;0
2.98001e+09;-5.5736;0
2.99001e+09;-5.52252;0
3.00001e+09;-5.47331;0
3.01001e+09;-5.42588;0
3.02001e+09;-5.38013;0
3.03001e+09;-5.33597;0
3.04001e+09;-5.29333;0
3.05001e+09;-5.25212;0
3.06001e+09;-5.21227;0
3.07001e+09;-5.17371;0
3.08001e+09;-5.13637;0
3.09001e+09;-5.1002;0
3.10001e+09;-5.06513;0
3.11001e+09;-5.03112;0
3.12001e+09;-4.9981;0
3.13001e+09;-4.96689;0
3.14001e+09;-4.93572;0
3.15001e+09;-4.9046;0
3.16001e+09;-4.87514;0
3.17001e+09;-4.84647;0
3.18001e+09;-4.81854;0
3.19001e+09;-4.79134;0
3.20001e+09;-4.76482;0
3.21001e+09;-4.73896;0
3.22001e+09;-4.71373;0
3.23001e+09;-4.6891;0
3.24001e+09;-4.66504;0
3.25001e+09;-4.64154;0
3.26001e+09;-4.61857;0
3.27001e+09;-4.59612;0
3.28001e+09;-4.57415;0
3.29001e+09;-4.55265;0
3.30001e+09;-4.5316;0
3.31001e+09;-4.51099;0
3.32001e+09;-4.49081;0
3.33001e+09;-4.47102;0
3.34001e+09;-4.45163;0
3.35001e+09;-4.43261;0
3.36001e+09;-4.41396;0
3.37001e+09;-4.39566;0
3.38001e+09;-4.37769;0
3.39001e+09;-4.36006;0
3.40001e+09;-4.34274;0
3.41001e+09;-4.32574;0
3.42001e+09;-4.30903;0
3.43001e+09;-4.29261;0
3.44001e+09;-4.27647;0
3.45001e+09;-4.26061;0
3.46001e+09;-4.245;0
3.47001e+09;-4.22966;0
3.48001e+09;-4.21457;0
3.49001e+09;-4.19971;0
3.50001e+09;-4.1851;0
3.51001e+09;-4.17072;0
3.52001e+09;-4.15656;0
3.53001e+09;-4.14317;0
3.54001e+09;-4.12889;0
3.55001e+09;-4.11537;0
3.56001e+09;-4.10206;0
3.57001e+09;-4.08894;0
3.58001e+09;-4.07602;0
3.59001e+09;-4.06328;0
3.60001e+09;-4.05073;0
3.61001e+09;-4.03837;0
3.62001e+09;-4.02618;0
3.63001e+09;-4.01416;0
3.64001e+09;-4.00231;0
3.65001e+09;-3.99063;0
3.66001e+09;-3.97912;0
3.67001e+09;-3.96776;0
3.68001e+09;-3.95656;0
3.69001e+09;-3.94551;0
3.70001e+09;-3.93462;0
3.71001e+09;-3.92387;0
3.72001e+09;-3.91327;0
3.73001e+09;-3.90282;0
3.74001e+09;-3.89296;0
3.75001e+09;-3.88232;0
3.76001e+09;-3.87228;0
3.77001e+09;-3.86237;0
3.78001e+09;-3.8526;0
3.79001e+09;-3.84295;0
3.80001e+09;-3.83343;0
3.81001e+09;-3.82404;0
3.82001e+09;-3.81477;0
3.83001e+09;-3.80562;0
3.84001e+09;-3.79659;0
3.85001e+09;-3.78768;0
3.86001e+09;-3.77889;0
3.87001e+09;-3.77021;0
3.88001e+09;-3.76165;0
3.89001e+09;-3.7532;0
3.90001e+09;-3.74485;0
3.91001e+09;-3.73662;0
3.92001e+09;-3.7285;0
3.93001e+09;-3.72048;0
3.94001e+09;-3.71296;0
3.95001e+09;-3.70475;0
3.96001e+09;-3.69705;0
3.97001e+09;-3.68944;0
3.98001e+09;-3.68193;0
3.99001e+09;-3.67453;0
4.00001e+09;-3.66722;0
4.01001e+09;-3.66;0
4.02001e+09;-3.65326;0
4.03001e+09;-3.64586;0
4.04001e+09;-3.63893;0
4.05001e+09;-3.63209;0
4.06001e+09;-3.62571;0
4.07001e+09;-3.61905;0
4.08001e+09;-3.61213;0
4.09001e+09;-3.60565;0
4.10001e+09;-3.59961;0
4.11001e+09;-3.59296;0
4.12001e+09;-3.58709;0
4.13001e+09;-3.58061;0
4.14001e+09;-3.57456;0
4.15001e+09;-3.5686;0
4.16001e+09;-3.56272;0
4.17001e+09;-3.55726;0
4.18001e+09;-3.5512;0
4.19001e+09;-3.5459;0
4.20001e+09;-3.54001;0
4.21001e+09;-3.53454;0
4.22001e+09;-3.52914;0
4.23001e+09;-3.52382;0
4.24001e+09;-3.51857;0
4.25001e+09;-3.51372;0
4.26001e+09;-3.50832;0
4.27001e+09;-3.5033;0
4.28001e+09;-3.49836;0
4.29001e+09;-3.49349;0
4.30001e+09;-3.489;0
4.31001e+09;-3.48398;0
4.32001e+09;-3.47933;0
4.33001e+09;-3.47505;0
4.34001e+09;-3.47025;0
4.35001e+09;-3.46582;0
4.36001e+09;-3.46145;0
4.37001e+09;-3.45745;0
4.38001e+09;-3.45293;0
4.39001e+09;-3.44878;0
4.40001e+09;-3.44469;0
4.41001e+09;-3.44067;0
4.42001e+09;-3.437;0
4.43001e+09;-3.43283;0
4.44001e+09;-3.42901;0
4.45001e+09;-3.42526;0
4.46001e+09;-3.42157;0
4.47001e+09;-3.41795;0
